respID,qID,profileID,altID,obsID,choice,time_sec_p1,ownhome,oftencook,time_sec_p2,time_sec_p3,induction,inductionOther,heatingeff,heatingeffOther,carbon,carbonOther,yearOfBirth,feedback,time_min_total,Cooktop_Type,final_cost_price,Average_annual_usage_Cost,Indoor_air_Quality,number_of_burners
5,1,104,2,33,0,23,2,2,72,26,Yes,NA,Neutral,NA,Neutral,NA,1992,hello,2.0166666666666666,Electric,800,8,0,4
5,1,27,3,33,1,23,2,2,72,26,Yes,NA,Neutral,NA,Neutral,NA,1992,hello,2.0166666666666666,Induction,1500,8,0,3
5,2,52,1,34,0,23,2,2,72,26,Yes,NA,Neutral,NA,Neutral,NA,1992,hello,2.0166666666666666,Gas,1500,8,5,3
5,2,164,2,34,1,23,2,2,72,26,Yes,NA,Neutral,NA,Neutral,NA,1992,hello,2.0166666666666666,Electric,500,6,0,5
5,2,159,3,34,0,23,2,2,72,26,Yes,NA,Neutral,NA,Neutral,NA,1992,hello,2.0166666666666666,Induction,800,8,10,4
5,3,22,1,35,0,23,2,2,72,26,Yes,NA,Neutral,NA,Neutral,NA,1992,hello,2.0166666666666666,Gas,800,8,0,3
5,3,5,2,35,1,23,2,2,72,26,Yes,NA,Neutral,NA,Neutral,NA,1992,hello,2.0166666666666666,Electric,800,6,0,3
5,3,150,3,35,0,23,2,2,72,26,Yes,NA,Neutral,NA,Neutral,NA,1992,hello,2.0166666666666666,Induction,800,7,10,4
5,4,76,1,36,0,23,2,2,72,26,Yes,NA,Neutral,NA,Neutral,NA,1992,hello,2.0166666666666666,Gas,800,8,10,3
5,4,59,2,36,0,23,2,2,72,26,Yes,NA,Neutral,NA,Neutral,NA,1992,hello,2.0166666666666666,Electric,800,6,10,3
5,4,114,3,36,1,23,2,2,72,26,Yes,NA,Neutral,NA,Neutral,NA,1992,hello,2.0166666666666666,Induction,800,6,5,4
5,5,64,1,37,0,23,2,2,72,26,Yes,NA,Neutral,NA,Neutral,NA,1992,hello,2.0166666666666666,Gas,500,7,10,3
5,5,71,2,37,1,23,2,2,72,26,Yes,NA,Neutral,NA,Neutral,NA,1992,hello,2.0166666666666666,Electric,1500,7,10,3
5,5,207,3,37,0,23,2,2,72,26,Yes,NA,Neutral,NA,Neutral,NA,1992,hello,2.0166666666666666,Induction,1500,7,5,5
5,6,154,1,38,0,23,2,2,72,26,Yes,NA,Neutral,NA,Neutral,NA,1992,hello,2.0166666666666666,Gas,500,8,10,4
5,6,56,2,38,1,23,2,2,72,26,Yes,NA,Neutral,NA,Neutral,NA,1992,hello,2.0166666666666666,Electric,500,6,10,3
5,6,42,3,38,0,23,2,2,72,26,Yes,NA,Neutral,NA,Neutral,NA,1992,hello,2.0166666666666666,Induction,800,7,5,3
5,7,175,1,39,0,23,2,2,72,26,Yes,NA,Neutral,NA,Neutral,NA,1992,hello,2.0166666666666666,Gas,800,7,0,5
5,7,113,2,39,1,23,2,2,72,26,Yes,NA,Neutral,NA,Neutral,NA,1992,hello,2.0166666666666666,Electric,800,6,5,4
5,7,111,3,39,0,23,2,2,72,26,Yes,NA,Neutral,NA,Neutral,NA,1992,hello,2.0166666666666666,Induction,500,6,5,4
5,8,229,1,40,0,23,2,2,72,26,Yes,NA,Neutral,NA,Neutral,NA,1992,hello,2.0166666666666666,Gas,800,7,10,5
5,8,158,2,40,1,23,2,2,72,26,Yes,NA,Neutral,NA,Neutral,NA,1992,hello,2.0166666666666666,Electric,800,8,10,4
5,8,198,3,40,0,23,2,2,72,26,Yes,NA,Neutral,NA,Neutral,NA,1992,hello,2.0166666666666666,Induction,1500,6,5,5
6,1,187,1,41,0,23,2,2,72,22,No,NA,Concerned,NA,Concerned,NA,1998,NA,1.95,Gas,1500,8,0,5
6,1,104,2,41,0,23,2,2,72,22,No,NA,Concerned,NA,Concerned,NA,1998,NA,1.95,Electric,800,8,0,4
6,1,27,3,41,1,23,2,2,72,22,No,NA,Concerned,NA,Concerned,NA,1998,NA,1.95,Induction,1500,8,0,3
6,2,52,1,42,0,23,2,2,72,22,No,NA,Concerned,NA,Concerned,NA,1998,NA,1.95,Gas,1500,8,5,3
6,2,164,2,42,1,23,2,2,72,22,No,NA,Concerned,NA,Concerned,NA,1998,NA,1.95,Electric,500,6,0,5
6,2,159,3,42,0,23,2,2,72,22,No,NA,Concerned,NA,Concerned,NA,1998,NA,1.95,Induction,800,8,10,4
6,3,22,1,43,0,23,2,2,72,22,No,NA,Concerned,NA,Concerned,NA,1998,NA,1.95,Gas,800,8,0,3
6,3,5,2,43,1,23,2,2,72,22,No,NA,Concerned,NA,Concerned,NA,1998,NA,1.95,Electric,800,6,0,3
6,3,150,3,43,0,23,2,2,72,22,No,NA,Concerned,NA,Concerned,NA,1998,NA,1.95,Induction,800,7,10,4
6,4,76,1,44,0,23,2,2,72,22,No,NA,Concerned,NA,Concerned,NA,1998,NA,1.95,Gas,800,8,10,3
6,4,59,2,44,0,23,2,2,72,22,No,NA,Concerned,NA,Concerned,NA,1998,NA,1.95,Electric,800,6,10,3
6,4,114,3,44,1,23,2,2,72,22,No,NA,Concerned,NA,Concerned,NA,1998,NA,1.95,Induction,800,6,5,4
6,5,64,1,45,0,23,2,2,72,22,No,NA,Concerned,NA,Concerned,NA,1998,NA,1.95,Gas,500,7,10,3
6,5,71,2,45,1,23,2,2,72,22,No,NA,Concerned,NA,Concerned,NA,1998,NA,1.95,Electric,1500,7,10,3
6,5,207,3,45,0,23,2,2,72,22,No,NA,Concerned,NA,Concerned,NA,1998,NA,1.95,Induction,1500,7,5,5
6,6,154,1,46,0,23,2,2,72,22,No,NA,Concerned,NA,Concerned,NA,1998,NA,1.95,Gas,500,8,10,4
6,6,56,2,46,1,23,2,2,72,22,No,NA,Concerned,NA,Concerned,NA,1998,NA,1.95,Electric,500,6,10,3
6,6,42,3,46,0,23,2,2,72,22,No,NA,Concerned,NA,Concerned,NA,1998,NA,1.95,Induction,800,7,5,3
6,7,175,1,47,0,23,2,2,72,22,No,NA,Concerned,NA,Concerned,NA,1998,NA,1.95,Gas,800,7,0,5
6,7,113,2,47,1,23,2,2,72,22,No,NA,Concerned,NA,Concerned,NA,1998,NA,1.95,Electric,800,6,5,4
6,7,111,3,47,0,23,2,2,72,22,No,NA,Concerned,NA,Concerned,NA,1998,NA,1.95,Induction,500,6,5,4
6,8,229,1,48,0,23,2,2,72,22,No,NA,Concerned,NA,Concerned,NA,1998,NA,1.95,Gas,800,7,10,5
6,8,158,2,48,1,23,2,2,72,22,No,NA,Concerned,NA,Concerned,NA,1998,NA,1.95,Electric,800,8,10,4
6,8,198,3,48,0,23,2,2,72,22,No,NA,Concerned,NA,Concerned,NA,1998,NA,1.95,Induction,1500,6,5,5
7,1,187,1,49,0,20,2,3,72,26,Yes,NA,Neutral,NA,Neutral,NA,1992,hello,1.9666666666666666,Gas,1500,8,0,5
7,1,104,2,49,0,20,2,3,72,26,Yes,NA,Neutral,NA,Neutral,NA,1992,hello,1.9666666666666666,Electric,800,8,0,4
7,1,27,3,49,1,20,2,3,72,26,Yes,NA,Neutral,NA,Neutral,NA,1992,hello,1.9666666666666666,Induction,1500,8,0,3
7,2,52,1,50,0,20,2,3,72,26,Yes,NA,Neutral,NA,Neutral,NA,1992,hello,1.9666666666666666,Gas,1500,8,5,3
7,2,164,2,50,1,20,2,3,72,26,Yes,NA,Neutral,NA,Neutral,NA,1992,hello,1.9666666666666666,Electric,500,6,0,5
